Frame_ID,Time_s,Arduino_State,Camera_Frame,Raw_Ticks_Signed,Zeroed_Dist_cm,Smoothed_Vel_cm_s
1,0.000000,0,1,39,0.0000,0.0000
2,0.000450,0,1,39,0.0000,0.0000
3,0.000900,0,1,39,0.0000,0.0000
4,0.001350,0,1,39,0.0000,0.0000
5,0.001800,0,1,39,0.0000,0.0000
6,0.002250,0,2,39,0.0000,0.0000
7,0.002700,0,2,38,-0.0119,-4.4030
8,0.003150,0,2,38,-0.0119,-3.7740
9,0.003600,0,2,38,-0.0119,-3.3023
10,0.004050,0,2,38,-0.0119,-2.9354
11,0.004500,0,2,38,-0.0119,-2.6418
12,0.004950,0,2,38,-0.0119,-2.4016
13,0.005400,0,2,38,-0.0119,-2.2015
14,0.005850,0,2,38,-0.0119,-2.0322
15,0.006300,0,2,38,-0.0119,-1.8870
16,0.006750,0,2,38,-0.0119,-1.7612
17,0.007200,0,2,38,-0.0119,-1.6511
18,0.007650,0,2,38,-0.0119,-1.5540
19,0.008100,0,2,38,-0.0119,-1.4677
20,0.008550,0,2,38,-0.0119,-1.3904
21,0.009000,0,2,38,-0.0119,-1.3209
22,0.009450,0,2,38,-0.0119,-1.2580
23,0.009900,0,2,38,-0.0119,-1.2008
24,0.010350,0,2,38,-0.0119,-1.1486
25,0.010800,0,2,38,-0.0119,-1.1008
26,0.011250,0,2,38,-0.0119,-1.0567
27,0.011700,0,2,38,-0.0119,-1.0161
28,0.012150,0,3,38,-0.0119,-0.9785
29,0.012600,0,3,38,-0.0119,-0.9435
30,0.013050,0,3,38,-0.0119,-0.9110
31,0.013500,0,3,38,-0.0119,-0.8806
32,0.013950,0,3,38,-0.0119,-0.8522
33,0.014400,0,3,38,-0.0119,-0.8256
34,0.014850,0,3,38,-0.0119,-0.8006
35,0.015300,0,3,38,-0.0119,-0.7770
36,0.015750,0,3,37,-0.0238,-1.5096
37,0.016200,0,3,37,-0.0238,-1.4677
38,0.016650,0,3,37,-0.0238,-1.4280
39,0.017100,0,3,37,-0.0238,-1.3904
40,0.017550,0,3,37,-0.0238,-1.3548
41,0.018000,0,3,37,-0.0238,-1.3209
42,0.018450,0,3,37,-0.0238,-1.2887
43,0.018900,0,3,37,-0.0238,-1.2580
44,0.019350,0,3,37,-0.0238,-1.2288
45,0.019800,0,3,37,-0.0238,-1.2008
46,0.020250,0,3,37,-0.0238,-1.1741
47,0.020700,0,3,37,-0.0238,-1.1486
48,0.021150,0,3,37,-0.0238,-1.1242
49,0.021600,0,3,37,-0.0238,-1.1008
50,0.022050,0,4,37,-0.0238,-1.0783
51,0.022500,0,4,37,-0.0238,-1.0567
52,0.022950,0,4,37,-0.0238,-1.0360
53,0.023400,0,4,37,-0.0238,-1.0161
54,0.023850,0,4,37,-0.0238,-0.9969
55,0.024300,0,4,37,-0.0238,-0.9785
56,0.024750,0,4,37,-0.0238,-0.9607
57,0.025200,0,4,37,-0.0238,-0.9435
58,0.025650,0,4,37,-0.0238,-0.9270
59,0.026100,0,4,37,-0.0238,-0.9110
60,0.026550,0,4,37,-0.0238,-0.8955
61,0.027000,0,4,37,-0.0238,-0.8806
62,0.027450,0,4,37,-0.0238,-0.8662
63,0.027900,0,4,37,-0.0238,-0.8522
64,0.028350,0,4,37,-0.0238,-0.8387
65,0.028800,0,4,37,-0.0238,-0.8256
66,0.029250,0,4,37,-0.0238,-0.8129
67,0.029700,0,4,37,-0.0238,-0.8006
68,0.030150,0,4,37,-0.0238,-0.7886
69,0.030600,0,4,37,-0.0238,-0.7770
70,0.031050,0,4,36,-0.0357,-1.1486
71,0.031500,0,4,36,-0.0357,-1.1322
72,0.031950,0,5,36,-0.0357,-1.1163
73,0.032400,0,5,36,-0.0357,-1.1008
74,0.032850,0,5,36,-0.0357,-1.0857
75,0.033300,0,5,36,-0.0357,-1.0710
76,0.033750,0,5,36,-0.0357,-1.0567
77,0.034200,0,5,36,-0.0357,-1.0428
78,0.034650,0,5,36,-0.0357,-1.0293
79,0.035100,0,5,36,-0.0357,-1.0161
80,0.035550,0,5,36,-0.0357,-1.0032
81,0.036000,0,5,36,-0.0357,-0.9907
82,0.036450,0,5,36,-0.0357,-0.9785
83,0.036900,0,5,36,-0.0357,-0.9665
84,0.037350,0,5,36,-0.0357,-0.9549
85,0.037800,0,5,36,-0.0357,-0.9435
86,0.038250,0,5,36,-0.0357,-0.9324
87,0.038700,0,5,36,-0.0357,-0.9216
88,0.039150,0,5,36,-0.0357,-0.9110
89,0.039600,0,5,36,-0.0357,-0.9006
90,0.040051,0,5,36,-0.0357,-0.8905
91,0.040501,0,5,36,-0.0357,-0.8806
92,0.040951,0,5,36,-0.0357,-0.8709
93,0.041400,0,5,36,-0.0357,-0.8615
94,0.041850,0,5,36,-0.0357,-0.8522
95,0.042301,0,6,36,-0.0357,-0.8431
96,0.042751,0,6,36,-0.0357,-0.8343
97,0.043201,0,6,36,-0.0357,-0.8256
98,0.043651,0,6,36,-0.0357,-0.8171
